sample_name	sample_identifier	num_bases	collection_date	country	state	county	precise_location	region	influenza_status	sex	influenza_level	ct_value	genotype	ha_subtype	na_subtype	HA_NA
SRR5275161	UCD.09.05149	21090500	2009-07-25	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	female	2	35.49	25	5	2	H5N2
SRR5275160	UCD.09.05174	22075000	2009-07-25	USA	California	 Solano County	Sunrise	Suisun Marsh	Pos	male	3	33.01	25	5	2	H5N2
SRR5275159	UCD.09.05191	11459500	2009-07-27	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	male	NA	NA	25	5	2	H5N2
SRR5275158	UCD.09.05192	10732000	2009-07-27	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	male	3	31.93	12	4	2	H4N2
SRR5275157	UCD.09.05197	12508500	2009-07-27	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	female	1	41.95	25	5	2	H5N2
SRR5275156	UCD.09.05205	22968000	2009-07-27	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	female	2	35.41	NA	4	2.6	H4N2.6
SRR5275155	UCD.09.05212	23663000	2009-07-27	USA	California	 Solano County	Sunrise	Suisun Marsh	Pos	female	1	43.54	25	5	2	H5N2
SRR5275154	UCD.09.05219	16982000	2009-07-27	USA	California	 Solano County	Sunrise	Suisun Marsh	Pos	male	3	33	25	5	2	H5N2
SRR5275153	UCD.09.05222	12496500	2009-07-27	USA	California	 Solano County	Sunrise	Suisun Marsh	Pos	male	3	33.43	25	5	2	H5N2
SRR5275393	UCD.09.05233	7987500	2009-07-27	USA	California	 Solano County	Balboa	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275392	UCD.09.05235	8409000	2009-07-27	USA	California	 Solano County	Balboa	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275391	UCD.09.05236	16670500	2009-07-27	USA	California	 Solano County	Balboa	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275390	UCD.09.05238	12805500	2009-07-27	USA	California	 Solano County	Balboa	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275389	UCD.09.05239	12021000	2009-07-27	USA	California	 Solano County	Balboa	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275388	UCD.09.05240	13555500	2009-07-27	USA	California	 Solano County	Balboa	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275387	UCD.09.05241	11642000	2009-07-27	USA	California	 Solano County	Balboa	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275386	UCD.09.05243	11999500	2009-07-27	USA	California	 Solano County	Balboa	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275385	UCD.09.05244	13909500	2009-07-27	USA	California	 Solano County	Balboa	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275152	UCD.09.05255.V	14820500	2009-07-28	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	female	1	40.93	5	3	8	H3N8
SRR5275151	UCD.09.05271	22303000	2009-07-29	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	male	2	35.13	14	4	6	H4N6
SRR5275150	UCD.09.05282	10516000	2009-07-29	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	male	3	34.91	NA	3.4	2.8	H3.4N2.8
SRR5275149	UCD.09.05296	10139500	2009-07-29	USA	California	 Solano County	Sunrise	Suisun Marsh	Pos	male	3	34.79	25	5	2	H5N2
SRR5275148	UCD.09.05319	12120000	2009-07-23	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	male	2	35.96	25	5	2	H5N2
SRR5275147	UCD.09.05491	9209000	2009-07-23	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	male	2	36.78	25	5	2	H5N2
SRR5275146	UCD.09.05495	12440000	2009-07-23	USA	California	 Solano County	Arnold Ranch	Suisun Marsh	Pos	female	2	35.28	13	4	2	H4N2
SRR5275145	UCD.09.05502	6370000	2009-07-23	USA	California	 Solano County	Balboa	Suisun Marsh	Pos	male	3	32.63	25	5	2	H5N2
SRR5275384	UCD.10.01139.CP	10885500	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275383	UCD.10.01140.CP	8499000	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275144	UCD.10.01141.CP	23833500	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275143	UCD.10.01142.CP	15565000	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275142	UCD.10.01143.CP	20996500	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275141	UCD.10.01144.CP	36977500	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275140	UCD.10.01145.CP	22946500	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275139	UCD.10.01146.CP	32141500	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275138	UCD.10.01147.CP	19197000	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275137	UCD.10.01148.CP	4596500	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275136	UCD.10.01156.CP	9056500	2010-07-27	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	32.3	15	4	6	H4N6
SRR5275135	UCD.10.1188.CV	9808500	2010-07-29	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	35.84	16	4	6	H4N6
SRR5275134	UCD.10.1297.CP	18238500	2010-07-30	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	35.5	16	4	6	H4N6
SRR5275133	UCD.11.02521	23205000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	3	32.09	6	3	8	H3N8
SRR5275132	UCD.11.02522	29179500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275131	UCD.11.02524	26146000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275130	UCD.11.02525.P.H4	24280000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	2	38.35	17	4	6	H4N6
SRR5275129	UCD.11.02526	20950000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275128	UCD.11.02527.V.H5	15408500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	4	28.83	26	5	1	H5N1
SRR5275127	UCD.11.02528	13294500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275126	UCD.11.02529	12736000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275125	UCD.11.02531.P.H5	12626500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	30.5	26	5	1	H5N1
SRR5275124	UCD.11.02532.H4	33124000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	1	41.6	18	4	6	H4N6
SRR5275123	UCD.11.02533.V.H4	16787000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	31.47	17	4	6	H4N6
SRR5275122	UCD.11.02535.P.H5	12199500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	31.96	26	5	1	H5N1
SRR5275121	UCD.11.02536.H5	27719000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	30.17	26	5	1	H5N1
SRR5275120	UCD.11.02538	15697500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275119	UCD.11.02541	4297000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275118	UCD.11.02542.V.H5	10914000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	NA	NA	26	5	1	H5N1
