SampleID,Influenza,IAV_level,Ct value,Genotype,HASubType,NASubType,HANASubType,Sex,Date,Location,Year,Description
UCD.09.05149,Pos,2,35.49,25,5,2,H5N2,F,25-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05174,Pos,3,33.01,25,5,2,H5N2,M,25-Jul-09,"SuisunMarsh/Sunrise,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05191,Pos,NA,NA,25,5,2,H5N2,M,27-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05192,Pos,3,31.93,12,4,2,H4N2,M,27-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05197,Pos,1,41.95,25,5,2,H5N2,F,27-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05205,Pos,2,35.41,NA,4,2.6,H4N2.6,F,27-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05212,Pos,1,43.54,25,5,2,H5N2,F,27-Jul-09,"SuisunMarsh/Sunrise,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05219,Pos,3,33,25,5,2,H5N2,M,27-Jul-09,"SuisunMarsh/Sunrise,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05222,Pos,3,33.43,25,5,2,H5N2,M,27-Jul-09,"SuisunMarsh/Sunrise,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05233,Neg,0,NA,NA,neg,neg,neg,M,27-Jul-09,"SuisunMarsh/Balboa,SolanoCounty",2009,Neg_2009_Anasplatyrhynchos
UCD.09.05235,Neg,0,NA,NA,neg,neg,neg,M,27-Jul-09,"SuisunMarsh/Balboa,SolanoCounty",2009,Neg_2009_Anasplatyrhynchos
UCD.09.05236,Neg,0,NA,NA,neg,neg,neg,M,27-Jul-09,"SuisunMarsh/Balboa,SolanoCounty",2009,Neg_2009_Anasplatyrhynchos
UCD.09.05238,Neg,0,NA,NA,neg,neg,neg,M,27-Jul-09,"SuisunMarsh/Balboa,SolanoCounty",2009,Neg_2009_Anasplatyrhynchos
UCD.09.05239,Neg,0,NA,NA,neg,neg,neg,M,27-Jul-09,"SuisunMarsh/Balboa,SolanoCounty",2009,Neg_2009_Anasplatyrhynchos
UCD.09.05240,Neg,0,NA,NA,neg,neg,neg,F,27-Jul-09,"SuisunMarsh/Balboa,SolanoCounty",2009,Neg_2009_Anasplatyrhynchos
UCD.09.05241,Neg,0,NA,NA,neg,neg,neg,M,27-Jul-09,"SuisunMarsh/Balboa,SolanoCounty",2009,Neg_2009_Anasplatyrhynchos
UCD.09.05243,Neg,0,NA,NA,neg,neg,neg,M,27-Jul-09,"SuisunMarsh/Balboa,SolanoCounty",2009,Neg_2009_Anasplatyrhynchos
UCD.09.05244,Neg,0,NA,NA,neg,neg,neg,F,27-Jul-09,"SuisunMarsh/Balboa,SolanoCounty",2009,Neg_2009_Anasplatyrhynchos
UCD.09.05255.V,Pos,1,40.93,5,3,8,H3N8,F,28-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05271,Pos,2,35.13,14,4,6,H4N6,M,29-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05282,Pos,3,34.91,NA,3.4,2.8,H3.4N2.8,M,29-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05296,Pos,3,34.79,25,5,2,H5N2,M,29-Jul-09,"SuisunMarsh/Sunrise,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05319,Pos,2,35.96,25,5,2,H5N2,M,23-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05491,Pos,2,36.78,25,5,2,H5N2,M,23-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05495,Pos,2,35.28,13,4,2,H4N2,F,23-Jul-09,"SuisunMarsh/ArnoldRanch,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.09.05502,Pos,3,32.63,25,5,2,H5N2,M,23-Jul-09,"SuisunMarsh/Balboa,SolanoCounty",2009,Pos_2009_Anasplatyrhynchos
UCD.10.01139.CP,Neg,0,NA,NA,neg,neg,neg,F,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Neg_2010_Anasplatyrhynchos
UCD.10.01140.CP,Neg,0,NA,NA,neg,neg,neg,M,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Neg_2010_Anasplatyrhynchos
UCD.10.01141.CP,Neg,0,NA,NA,neg,neg,neg,F,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Neg_2010_Anasplatyrhynchos
UCD.10.01142.CP,Neg,0,NA,NA,neg,neg,neg,F,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Neg_2010_Anasplatyrhynchos
UCD.10.01143.CP,Neg,0,NA,NA,neg,neg,neg,F,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Neg_2010_Anasplatyrhynchos
UCD.10.01144.CP,Neg,0,NA,NA,neg,neg,neg,F,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Neg_2010_Anasplatyrhynchos
UCD.10.01145.CP,Neg,0,NA,NA,neg,neg,neg,F,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Neg_2010_Anasplatyrhynchos
UCD.10.01146.CP,Neg,0,NA,NA,neg,neg,neg,M,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Neg_2010_Anasplatyrhynchos
UCD.10.01147.CP,Neg,0,NA,NA,neg,neg,neg,M,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Neg_2010_Anasplatyrhynchos
UCD.10.01148.CP,Neg,0,NA,NA,neg,neg,neg,F,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Neg_2010_Anasplatyrhynchos
UCD.10.01156.CP,Pos,3,32.3,15,4,6,H4N6,M,27-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Pos_2010_Anasplatyrhynchos
UCD.10.1188.CV,Pos,2,35.84,16,4,6,H4N6,F,29-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Pos_2010_Anasplatyrhynchos
UCD.10.1297.CP,Pos,2,35.5,16,4,6,H4N6,F,30-Jul-10,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2010,Pos_2010_Anasplatyrhynchos
UCD.11.02521,Pos,3,32.09,6,3,8,H3N8,F,12-Aug-11,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2011,Pos_2011_Anasplatyrhynchos
UCD.11.02522,Neg,0,NA,NA,neg,neg,neg,F,12-Aug-11,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2011,Neg_2011_Anasplatyrhynchos
UCD.11.02524,Neg,0,NA,NA,neg,neg,neg,M,12-Aug-11,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2011,Neg_2011_Anasplatyrhynchos
UCD.11.02525.P.H4,Pos,2,38.35,17,4,6,H4N6,M,12-Aug-11,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2011,Pos_2011_Anasplatyrhynchos
UCD.11.02526,Neg,0,NA,NA,neg,neg,neg,M,12-Aug-11,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2011,Neg_2011_Anasplatyrhynchos
UCD.11.02527.V.H5,Pos,4,28.83,26,5,1,H5N1,M,12-Aug-11,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2011,Pos_2011_Anasplatyrhynchos
