pathway	SRR5275058	SRR5275059	SRR5275060	SRR5275061	SRR5275062	SRR5275063	SRR5275064	SRR5275065	SRR5275066	SRR5275067	SRR5275068	SRR5275069	SRR5275070	SRR5275071	SRR5275072	SRR5275073	SRR5275074	SRR5275075	SRR5275076	SRR5275077	SRR5275078	SRR5275079	SRR5275080	SRR5275081	SRR5275082	SRR5275083	SRR5275084	SRR5275085	SRR5275086	SRR5275087	SRR5275088	SRR5275089	SRR5275090	SRR5275091	SRR5275092	SRR5275093	SRR5275094	SRR5275095	SRR5275096	SRR5275097	SRR5275098	SRR5275099	SRR5275100	SRR5275101	SRR5275102	SRR5275103	SRR5275104	SRR5275105	SRR5275106	SRR5275107	SRR5275108	SRR5275109	SRR5275110	SRR5275111	SRR5275112	SRR5275113	SRR5275114	SRR5275115	SRR5275116	SRR5275117	SRR5275118	SRR5275119	SRR5275120	SRR5275121	SRR5275122	SRR5275123	SRR5275124	SRR5275125	SRR5275126	SRR5275127	SRR5275128	SRR5275129	SRR5275130	SRR5275131	SRR5275132	SRR5275133	SRR5275134	SRR5275135	SRR5275136	SRR5275137	SRR5275138	SRR5275139	SRR5275140	SRR5275141	SRR5275142	SRR5275143	SRR5275144	SRR5275145	SRR5275146	SRR5275147	SRR5275148	SRR5275149	SRR5275150	SRR5275151	SRR5275152	SRR5275153	SRR5275154	SRR5275155	SRR5275156	SRR5275157	SRR5275158	SRR5275159	SRR5275160	SRR5275161	SRR5275383	SRR5275384	SRR5275385	SRR5275386	SRR5275387	SRR5275388	SRR5275389	SRR5275390	SRR5275391	SRR5275392	SRR5275393
12DICHLORETHDEG-PWY	21.655761024182077	0.0	17.915809167446213	80.73956816311025	0.0	12.787644787644787	0.0	4.8377412437455325	47.74625929576203	0.0	0.0	22.720299345182415	0.0	0.0	0.0	375.8428596093943	76.76482710333744	37.96253539820102	69.86514285714286	0.0	48.18889374726716	0.0	0.0	0.0	0.0	156.1689814156827	418.0898672002911	386.1481355609229	7.4074074074074066	19.95104704922491	0.0	0.0	0.0	20.968036529680365	25.53221125943123	50.52316890881913	47.536977491961416	61.4942767950052	25.383050847457632	72.92794376098418	214.73344307965053	31.855855855855857	11.829417926081101	26.23076923076923	0.0	0.0	10.588235294117647	0.0	0.0	0.0	12.16692426584235	0.0	0.0	13.339877170033034	0.0	0.0	7.687434002111933	11.755102040816325	19.62043795620438	6.719999999999999	0.0	4.89795918367347	0.0	0.0	0.0	7.01123595505618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.59842299258155	0.0	0.0	0.0	15.522690075881565	0.0	5.818181818181818	32.74010916769592	16.7098976109215	0.0	0.0	98.82093663911846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.745098039215685	13.942594718714123	0.0	0.0	0.0	0.0	6.220665499124343	25.282654833108236	7.411764705882353	71.62909290428776	0.0	22.34414467723146	0.0	24.838738255659432	0.0	0.0	0.0	0.0	0.0	2.9389600602863606	0.0	0.0	0.0
14DICHLORBENZDEG-PWY	0.0	0.0	0.0	55.301664781280344	0.0	11.87611837577426	9.312519910799619	15.913249745848866	161.82876849453962	0.0	23.754194902958197	0.0	0.0	0.0	0.0	68.53569145064479	60.76615734049143	0.0	0.0	0.0	22.18150684931507	0.0	0.0	0.0	0.0	34.497170785278676	151.77340721293712	605.7321077755444	18.60889748549323	67.41056292110412	0.0	17.174143412221827	9.254594757457065	55.7366628830874	80.52217573221758	0.0	41.842483656185294	0.0	55.22106308991555	32.97598627787307	142.3509165144251	0.0	11.902768399729913	29.138058854678874	6.581306017925735	0.0	3.1842751842751844	0.0	83.82222222222221	0.0	0.0	9.231726283048213	0.0	22.506855564495396	0.0	0.0	11.817647654746226	10.590179803882904	9.134600760456275	0.0	0.0	3.8904109589041096	0.0	22.57258517386358	0.0	0.0	0.0	0.0	294.8278461925107	7.656504937741521	4.467786519243036	17.875945537065054	0.0	32.13403344730537	0.0	0.0	0.0	34.5333755290485	4.204379562043796	5.113402061855671	0.0	14.292265206191548	0.0	0.0	15.966043241809258	0.0	0.0	0.0	0.0	0.0	15.037593984962408	0.0	3.728815024529403	0.0	0.0	0.0	0.0	0.0	17.041450777202073	0.0	0.0	29.208298780913115	0.0	97.75621921566182	0.0	51.787404902789525	11.82775119617225	0.0	18.43447356730342	0.0	0.0	2.64293659621802	13.268005879470847	23.360000000000003	0.0
1CMET2-PWY	8890.390400427046	7374.326773300623	2248.764936591995	10425.466957246983	5624.533403738199	9511.634335447852	7335.4299564953335	16138.815992014028	21737.587813271293	9600.714839402905	12657.329587765862	4676.060285417065	4082.2200370874107	2293.277942593346	10603.62178501485	5706.573473885138	8793.0241720101	7927.968299880192	8050.406209032331	6757.143789554343	8250.655459780657	11403.277254103941	2484.0825584785634	4599.162716842837	7017.913778208877	14199.718638568744	18668.767734404846	20930.855943993633	10072.81540578753	3639.2736392709644	3620.0016576705248	10595.216048888879	12147.952723774057	3837.128202443835	9945.548396111508	15892.256591644089	6256.942765314035	18050.804369856567	14360.948492792622	13190.743835924839	14971.765325704979	7158.571970391954	3365.6111147247098	8219.049678002126	18128.433512308307	7262.697984881048	8697.17479335825	2641.614657023402	6715.810282009017	7280.550622160557	5816.449712867757	7700.43235011984	8446.461614403765	9219.763700798734	11974.207918952829	4839.959913116693	9307.884256849098	5623.994040669485	11276.694213846136	7869.795398586728	6686.583811761036	2753.9194917862815	5830.371177457824	11966.738158280485	9726.959546908509	4752.6182808994945	31654.567143268614	4994.314357897129	6850.5592469516	5895.816700882785	5834.3832067771955	6590.366207287706	13860.388358978498	29831.70616362166	12088.180335008605	5953.329108113976	3521.8915366171564	8469.091090272901	8489.727723067017	1531.921934663	20232.33208606935	23432.92088730663	14041.632068830993	18961.01830093783	13473.42231376348	6111.476158873452	9857.068072800908	2944.679970249854	5511.2684475706865	7718.503803146077	1336.601406643338	5461.508178409304	9847.908372597147	21543.110317624025	6990.291653957287	8244.299731926378	4003.042581232698	3194.317099881001	22547.448743916262	10205.646249701827	9625.99081720146	6188.224722928118	12621.529033232933	18345.72419610308	5143.547205279202	6687.453129577323	8544.750241850636	8353.335155624902	5778.747456543742	1102.502251783583	7737.426314419864	4681.315046003522	6946.989184933841	3247.6247606621187	4185.089085810694
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	19.998191276331116	138.14744405392327	21.117231242046966	107.88574373700719	23.478837421059684	78.69537456905165	0.0	440.0242569730806	63.28310247194363	31.867644101124085	0.0	17.96239200922441	0.0	118.98974333783147	110.486184505111	32.95838408689611	11.471877476225266	18.3942073128655	0.0	0.0	0.0	0.0	0.0	7.622558570497731	0.0	437.58222590078736	0.0	0.0	21.038227084773656	112.76578643101026	0.0	73.86132253858213	95.06609929747735	133.39212932220946	0.0	0.0	647.5190729287173	246.29971653278255	267.4428695734624	83.46751041251953	61.04826642247462	212.29982735643802	42.76323918460963	13.663358871888697	62.18997599435995	0.0	0.0	0.0	17.68790595219697	0.0	0.0	75.8290208468355	0.0	0.0	85.11665645176528	110.374775620122	5.5588711613179465	5.201766379597202	85.58275387072567	0.0	0.0	539.2559810633373	150.05261592782796	72.07909249333993	62.43327234737495	83.82040908999461	22.5322447888212	0.0	0.0	17.06472588284953	32.33426344551483	110.0467635625905	35.36026168145264	0.0	602.7311998383568	144.72569928140638	16.89745849348037	4.85859763299618	60.249295438803784	0.0	0.0	0.0	7.877680361877897	0.0	23.741199162440594	0.0	0.0	0.0	0.0	0.0	41.30911776881351	0.0	7.03650737600931	54.83980086432917	0.0	18.07756880187858	21.889604069448165	34.796014646091955	24.895090085477932	90.03931712125971	163.37636418403335	125.15529858538315	0.0	39.991249539535	68.8295090830626	111.23252784556475	30.20904137621022	0.0	17.64651370480799	26.646888294356554	28.400241598279845	8.790400835145926	43.19725640781144
AEROBACTINSYN-PWY	0.0	0.0	8.615384615384617	18.752354885721395	0.0	20.443770149819837	0.0	12.250164492846803	0.0	0.0	0.0	17.15005138746146	0.0	0.0	0.0	0.0	3.861082737487232	32.55365454370366	0.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	111.7667731629393	191.6040839050401	3.038784486205518	31.306352459016395	0.0	0.0	0.0	13.492227979274613	30.447621940108114	104.16581995529363	36.16117089868707	89.04207750515937	58.96313912009513	0.0	36.602571893255174	15.024265347686939	7.233065442020667	9.312504499316104	0.0	0.0	5.226130653266332	0.0	0.0	0.0	0.0	1.159090909090909	0.0	0.0	0.0	4.962226640159046	9.345011545505216	3.4746029627652475	0.0	0.0	0.0	0.0	0.0	36.82907662082515	67.73006134969324	11.436412106005957	0.0	0.0	0.0	0.0	0.0	2.7857142857142856	0.0	22.742521437762395	3.3566433566433567	0.0	0.0	52.92380031106432	0.0	0.0	0.0	19.30056774849589	0.0	2.0276017130620985	87.75000000000001	0.0	17.58241758241758	0.0	0.0	0.0	0.0	0.0	25.641302878767398	10.1431334622824	17.515642108131242	0.0	0.0	3.821932681867535	21.040697674418603	15.05635334258183	0.0	61.451553095442826	0.0	168.6224658586933	0.0	22.660424918977316	0.0	5.741029641185647	0.0	0.0	0.8151438848920862	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY	748.7631694422314	44.64877126654064	53.50464981399484	511.4038791836814	15.082916705056276	168.96101660846844	33.60637350064867	429.24958171225836	1238.0288157819632	33.00176153460381	79.49521043445566	85.23532080831727	19.588369373372537	17.033048644634235	203.755847627534	840.4063385434935	467.46111799552426	212.01976586491244	36.56654136644804	60.881933728719616	185.11354422388595	70.38450885409188	18.096864256212648	86.19881081986433	37.56827195467422	394.80451165757296	615.2235402285171	1675.862102828164	72.31148402127216	174.43738311686553	100.39796390559925	280.2033581689181	27.287491441138826	152.55945766568692	414.07553295321173	882.9439191173559	303.03101780222397	354.7644470519214	402.60477783482634	546.9089597990353	563.2248173411829	268.982805464937	135.27889500980322	239.25011667208778	77.10528428581856	72.79904160462767	240.35596813501735	0.0	264.1572847824142	0.0	23.911592652793313	32.061573509180384	17.900192061019588	145.58769006882272	0.0	24.23239138441829	127.3298280836017	196.44469189999316	79.5853455684622	32.59111082859231	71.44252531268612	11.090694078049667	14.866400858332904	765.0920075309544	421.7197077428529	143.4736370382344	194.7356811108345	34.07286841592936	120.5819610232966	26.74605335127951	18.839381176802146	31.603852648695977	40.5483883644799	166.06913100648603	247.73897907711984	0.0	0.0	306.40330879859454	405.906515009177	9.940425531914894	135.0538917056221	77.48166196900455	0.0	9.659446235936265	343.6291587529121	7.043306936386672	57.98150768985961	0.0	0.0	45.58863183927359	0.0	0.0	125.48151892215822	67.16408337787279	165.90734829081688	97.52178652635381	40.67674923593424	174.09861673820527	77.27828500987182	188.64076371604492	194.42248038014097	281.2920263651592	129.7661189116353	1433.3146941652853	105.34174366919345	233.9948434026585	139.74452313190815	131.23092842423355	45.87390626350591	0.0	22.753095479362194	24.41603968487557	68.14370644110267	30.46121011851676	29.306722689075627
ANAEROFRUCAT-PWY	6079.535842456859	17830.800527191022	8187.231433122952	7513.124128752817	5940.856172440226	4475.8960033902595	9015.195660402533	6535.149271684491	6695.5186850485225	10545.383075891528	16665.231844669208	9083.87198569372	8143.627965859153	6487.017025202572	9374.948327825214	5797.608446774498	5424.207516509743	4652.046657462644	3383.2420293180253	10697.882232041664	6723.916210106474	3780.262817613842	2060.6711236179012	3934.795926678461	1338.9979876247344	6865.393507761315	7959.10595713081	4416.717878488185	7557.199849979216	1022.059894092692	2021.1745453039446	3891.2090766597503	8604.753356171903	1765.4989018263495	2510.2434727357386	6373.377591233484	3576.7648237442027	5928.927297596524	10442.350074274525	7475.652370596914	8247.046605220601	4869.796549396647	3912.143205789543	5823.719263534499	7349.6917372558555	6024.561037744291	3820.4560120019387	3053.9921217636183	5464.679239848166	2560.0596097243965	7411.739394070493	7498.582186031561	11464.868639384802	9846.403717161904	13744.690205362387	5563.627400739244	5778.073093325877	5261.205376433207	13764.984384751404	8072.468818430886	9853.168791060356	2268.3328425462882	6112.654215929959	9907.05933938276	3184.486393685635	7256.242391414729	15397.062337642301	6950.136656671604	5686.688126414047	7024.072786980713	5032.9323909633185	6153.749198756208	15957.570647503242	14601.330982229912	6836.794175221493	7233.229939668424	3697.817571684422	6154.229038904114	3544.8318221270874	1071.497943232095	8952.148823709587	25547.6687645157	12756.124549305188	21395.388632705428	9739.35982315726	7208.596781419057	9152.083740876584	3039.3671696951565	8818.348517391525	6976.057839743869	4300.284823204348	6691.6304524061625	6894.910428915317	16581.781047380493	7011.864253983385	7482.721483563943	7828.228362005706	3415.5868382541253	21402.718502130738	9823.408704796691	9107.974946884278	6027.3885049025075	15003.603387389156	14897.624387861399	5792.604520773797	4036.386009056394	7772.3316722626605	7630.149478142941	6866.290994179627	2538.2250690519436	5325.000286070998	5184.844240286817	9370.955634793208	4772.363774854931	3233.9761757421843
ANAGLYCOLYSIS-PWY	8322.874160602543	23143.34817356599	9536.33250009545	15400.99143769273	8883.415048954314	12728.522009896044	13402.485731084986	14722.483904645609	16103.569627197718	13215.871276459065	22667.119636681316	14271.83935153634	10590.648388810043	11696.646198105984	10385.144035852518	7292.865292605293	9022.658645825419	7958.388088708112	6495.342114036375	15752.324765073252	10516.02506213899	9245.31820983275	2707.537656503137	5689.418389467872	6875.207677755137	12811.460821637846	13683.916375422268	17749.089144419522	13957.165370173967	3028.8699049740367	3115.437949225484	5447.324113088248	11929.304572638775	3042.417402636384	8491.138505766932	16765.372140036805	5633.12675209314	16645.182807953308	15920.143383077795	10485.572303344017	12687.803749774324	8919.132328860134	4576.971033959764	9036.982310383077	9527.553563527075	7648.878652412268	5523.600212402527	3877.3044121165	7663.995230380203	4506.2539053720875	10028.316848613389	12263.332923752843	13257.61237979569	11321.69425746411	16273.764033984758	7550.945870315591	8676.640267605138	5905.228138401036	15671.866240013253	9288.341083265832	12983.763781513979	2747.243999178493	7450.608430135307	13289.309163933278	9357.104771905912	7951.431241864074	19736.92935650255	8127.517378530207	8160.364732734189	7977.911303217544	6382.06567852146	7637.97387565864	18157.999553002835	18450.30172129338	10788.234666051709	8623.32506293734	4956.269046300702	9799.469348745906	5055.995896103272	1930.2460627621292	16208.62198570288	29552.578071335807	15767.359685495187	23873.144123400245	13293.606641234353	8156.166864513273	11427.180233378995	5239.481750063652	11965.365038255266	11148.343148402537	6923.866471051301	7750.23569226637	8985.836896731358	26376.885835658915	8573.877559734387	11183.18637261495	8790.246131484919	4554.825384953187	28712.478801897323	11916.901332771673	11312.678060850025	7049.435696347098	16768.601596338885	18711.752072975196	6792.197358534622	6652.490137298306	10554.335209453235	9207.302337598112	9198.843710518442	2887.0598943106497	7756.220681718741	8256.215854012617	13183.53549993019	5894.111791948181	5581.034862612216
ARG+POLYAMINE-SYN	925.4586746369313	2001.092691280228	1792.9141844355925	2056.605817076244	3699.1359647145596	1380.602820391515	3249.4275694986673	1696.6657284086723	4291.976636684773	3054.774276009789	4791.7558449125345	2972.9611236205706	964.9034241146733	1559.8311834987046	429.3264517504961	1558.6321947319877	2973.7091120125833	2650.318289708812	520.289184428365	4089.729313368877	2820.9440626409555	1322.1623123199026	670.7632430466085	1367.8196257359498	107.21475660127017	3905.722659067284	4006.1902403710087	3016.0635672201365	4537.870036866471	571.7958147347986	980.430151265602	3268.236044772784	2723.692251764639	540.5323353729079	862.032268842747	4193.659054783184	860.090160483968	2661.008637303043	2282.8934342064667	3423.683891265166	2841.664400908575	2694.9055542497845	717.0552401997835	1879.7459939053824	1044.2269207919014	1980.4321624848324	2824.8507906303844	424.5887200202094	1435.8871136808605	1103.8830011125917	2796.950379158807	2624.343547469884	3131.288184397763	5147.281282725268	1847.448854186676	1490.729121918125	2219.971797015088	3100.8950775700296	3724.7593504094198	1588.2103818297664	3944.3211846854315	897.349908816658	821.2844980671445	6503.088322363146	1048.766294119318	2506.9381021865383	9588.10142360767	480.81729202963055	1236.201468608004	2212.6931763985644	2111.3193832081247	1976.2366855562655	2318.164911839963	4035.1774162292095	3680.1895678541664	2032.0669119485187	2137.389070546934	1130.7377740349243	2369.9451204531915	347.25870182900417	4882.8438077828705	6191.538429035824	5281.921194613419	5412.620088228897	3018.2126039619093	3545.668167618931	6111.061633576727	1074.3583901035279	112.84008526194667	843.4471615901922	103.83708617681756	0.0	6538.469507324131	2978.8329418399944	2117.465223024508	2979.112010609838	2090.794629874485	1025.4791951466561	253.02596451604137	808.3555460486984	1590.7720156059179	2282.525843806806	917.946934744263	2231.4482984691776	2358.5460124018623	1531.1469031749136	1975.488113802378	3906.319508331733	1799.6063551458953	287.0547333242142	2027.5478690907798	483.49235218334894	2955.129497918157	1605.0111728040147	371.8731091325309
ARGDEG-IV-PWY	0.0	0.0	0.0	0.0	0.0	7.887726875297072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.594095940959411	361.82219730171994	0.0	37.78686086962536	0.0	12.818096135721017	59.601402078563055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
